No.,주문번호,상품명,상품번호,옵션명,"구	매	자",결제일자,주문상태,상품가격,건수,판매가격,결제수수료
122,21285087270,에나멜 슬립온,274299515,color: 와인 / size: 245,"유	*	경",2015-02-12 11:35,구매확정,48000,1,48000,1795
123,21285188890,에나멜 슬립온,274299515,color: 네이비 / size: 240,"양	*	나",2015-02-12 12:49,취소,48000,1,48000,1795
124,21285709910,로리 원피스,276469460,color: 소라,"황	*	나",2015-02-12 19:44,구매확정,58000,1,58000,2169
125,21285733680,로리 원피스,276469460,color: 소라,"김	*	지",2015-02-12 20:13,구매확정,58000,1,58000,2169
126,21285738160,로리 원피스,276469460,color: 소라,"황	*	미",2015-02-12 20:18,구매확정,58000,1,58000,2169
127,21285750640,로리 원피스,276469460,color: 소라,"김	*	숙",2015-02-12 20:33,구매확정,58000,1,58000,2169
128,21285779720,로리 원피스,276469460,color: 소라,"신	*	현",2015-02-12 21:03,구매확정,58000,1,58000,2169
129,21285813650,로리 원피스,276469460,color: 소라,"신	*	진",2015-02-12 21:39,구매확정,58000,1,58000,2169
130,21285828980,로리 원피스,276469460,color: 소라,"강	*	옥",2015-02-12 21:50,구매확정,58000,1,58000,2233
131,21285853100,쟈가드 자켓,275180418,color: F,"윤	*	양",2015-02-12 22:14,구매확정,81000,1,81000,1336
132,21285857040,로리 원피스,276469460,color: 소라,"안	*	경",2015-02-12 22:16,구매확정,58000,1,58000,2169
133,21285858260,로리 원피스,276469460,color: 소라,"윤	*	리",2015-02-12 22:17,구매확정,58000,1,58000,2169
134,21285862800,쟈가드 자켓,275180418,color: F,"김	*	선",2015-02-12 22:21,구매확정,81000,1,81000,3029
135,21285867020,로리 원피스,276469460,color: 소라,"조	*	정",2015-02-12 22:25,구매확정,58000,1,58000,2169
136,21285887890,로리 원피스,276469460,color: 소라,"장	*	혜",2015-02-12 22:41,구매확정,58000,1,58000,2233
137,21285889720,로리 원피스,276469460,color: 소라,"황	*	희",2015-02-12 22:44,구매확정,58000,1,58000,2169
138,21285907770,로리 원피스,276469460,color: 소라,"나	*	은",2015-02-12 22:59,구매확정,58000,1,58000,2169
139,21385981730,로리 원피스,276469460,color: 소라,"김	*	선",2015-02-13 0:05,구매확정,58000,1,58000,2169
140,21386000620,로리 원피스,276469460,color: 소라,"서	*	주",2015-02-13 0:26,취소,58000,1,58000,2169
141,21386012850,로리 원피스,276469460,color: 소라,"윤	*	미",2015-02-13 0:40,구매확정,58000,1,58000,2169
142,21386028850,로리 원피스,276469460,color: 소라,"박	*	잎",2015-02-13 1:04,구매확정,58000,1,58000,2169
143,21386029850,로리 원피스,276469460,color: 소라,"변	*	현",2015-02-13 1:05,반품,58000,1,58000,2169
144,21386030320,로리 원피스,276469460,color: 소라,"라	*	림",2015-02-13 1:06,구매확정,58000,1,58000,2169
145,21386063750,로리 원피스,276469460,color: 소라,"홍	*	원",2015-02-13 2:24,취소,58000,1,58000,2169
146,21386072300,로리 원피스,276469460,color: 소라,"권	*	은",2015-02-13 2:54,구매확정,58000,1,58000,2169
147,21386082380,로리 원피스,276469460,color: 소라,"변	*	영",2015-02-13 3:43,구매확정,58000,1,58000,2169
148,21386204700,로리 원피스,276469460,color: 소라,"안	*	연",2015-02-13 10:13,구매확정,58000,1,58000,2233
149,21386271630,쟈가드 자켓,275180418,color: F,"강	*	희",2015-02-13 11:13,반품,81000,1,81000,3029
150,21386277200,로리 원피스,276469460,color: 소라,"성	*	수",2015-02-13 11:19,구매확정,58000,1,58000,2168
151,21386354240,쟈가드 자켓,275180418,color: F,"한	*	희",2015-02-13 12:36,구매확정,81000,1,81000,3029
152,21386368420,로리 원피스,276469460,color: 소라,"안	*	정",2015-02-13 12:48,구매확정,58000,1,58000,2169
153,21386376480,로리 원피스,276469460,color: 소라,"신	*	선",2015-02-13 12:59,구매확정,58000,1,58000,2169
154,21386417570,로리 원피스,276469460,color: 소라,"서	*	진",2015-02-13 13:34,반품,58000,1,58000,2169
155,21386510380,로리 원피스,276469460,color: 소라,"서	*	란",2015-02-13 14:53,구매확정,58000,1,58000,2169
156,21386521570,로리 원피스,276469460,color: 소라,"홍	*	원",2015-02-13 15:03,구매확정,58000,1,58000,2169
157,21386584680,쟈가드 자켓,275180418,color: F,"김	*	진",2015-02-13 16:01,구매확정,81000,1,81000,3029
158,21386238830,로리 원피스,276469460,color: 소라,"이	*	은",2015-02-13 17:14,구매확정,58000,1,58000,275
159,21386717320,로리 원피스,276469460,color: 소라,"배	*	",2015-02-13 18:39,취소,58000,1,58000,2169
160,21386758720,스트라이프 티셔츠,276030984,color: 아이보리,"백	*	영",2015-02-13 19:55,구매확정,22000,1,22000,822
161,21486955340,로리 원피스,276469460,color: 소라,"김	*	현",2015-02-14 1:24,구매확정,58000,1,58000,2169
162,21486962000,로리 원피스,276469460,color: 베이지,"안	*	주",2015-02-14 1:44,구매확정,58000,1,58000,2233
163,21487011730,로리 원피스,276469460,color: 소라,"안	*	주",2015-02-14 8:17,구매확정,58000,1,58000,2169
164,21487037510,로리 원피스,276469460,color: 소라,"이	*	영",2015-02-14 9:36,구매확정,58000,1,58000,2233
165,21487046850,로리 원피스,276469460,color: 소라,"김	*	영",2015-02-14 9:56,취소,58000,1,58000,2169
166,21386879070,로리 원피스,276469460,color: 소라,"이	*	미",2015-02-14 11:50,구매확정,58000,1,58000,275
167,21386879070,로리 원피스,276469460,color: 베이지,"옥	*	혜",2015-02-14 11:50,구매확정,58000,1,58000,275
168,21487113060,로리 원피스,276469460,color: 소라,"임	*	현",2015-02-14 11:59,구매확정,58000,1,58000,2169
169,21487170550,로리 원피스,276469460,color: 소라,"김	*	태",2015-02-14 13:39,취소,58000,1,58000,2168
170,21487254650,로리 원피스,276469460,color: 소라,"국	*	혜",2015-02-14 16:15,구매확정,58000,1,58000,2168
171,21487329040,로리 원피스,276469460,color: 소라,"송	*	연",2015-02-14 18:32,취소,58000,1,58000,2169
172,21487343380,패턴 블라우스,273199995,color: 네이비,"송	*	내",2015-02-14 18:59,구매확정,49000,1,49000,808
173,21487385990,폴인 가디건,274292797,color: 카키,"임	*	진",2015-02-14 20:27,취소,91000,1,91000,3403
174,21487385990,이너단추 티셔츠,277625766,color: 그레이,"천	*	선",2015-02-14 20:27,취소,31000,1,31000,1159
